kind,on_table,name,definition
CONSTRAINT,measurement_points,measurement_points_asset_id_name_direction_key,"UNIQUE (asset_id, name, direction)"
CONSTRAINT,measurement_points,measurement_points_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,measurement_points,measurement_points_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,measurement_points,measurement_points_pkey,PRIMARY KEY (id)
CONSTRAINT,measurement_points,measurement_points_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,notifications,notifications_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,notifications,notifications_pkey,PRIMARY KEY (id)
CONSTRAINT,notifications,notifications_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id)
CONSTRAINT,notifications,notifications_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id)
CONSTRAINT,organization_entitlements,organization_entitlements_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,organization_entitlements,organization_entitlements_pkey,"PRIMARY KEY (organization_id, entitlement)"
CONSTRAINT,organization_entitlements,organization_entitlements_updated_by_fkey,FOREIGN KEY (updated_by) REFERENCES auth.users(id)
CONSTRAINT,organization_members,organization_members_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,organization_members,organization_members_pkey,"PRIMARY KEY (organization_id, user_id)"
CONSTRAINT,organization_members,organization_members_role_check,"CHECK ((role = ANY (ARRAY['owner'::text, 'manager'::text, 'deputy_manager'::text, 'assistant_manager'::text, 'supervisor'::text, 'engineer'::text, 'mechanical_engineer'::text, 'electrical_engineer'::text, 'production_engineer'::text, 'utility_engineer'::text, 'power_house_engineer'::text, 'technical_officer'::text, 'senior_technical_officer'::text, 'technician'::text, 'senior_technician'::text, 'operator'::text, 'assistant_operator'::text, 'senior_operator'::text, 'worker'::text, 'checker'::text, 'quality_control_officer'::text, 'store'::text, 'admin_officer'::text, 'time_officer'::text, 'viewer'::text])))"
CONSTRAINT,organization_members,organization_members_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
CONSTRAINT,organization_settings,organization_settings_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,organization_settings,organization_settings_pkey,PRIMARY KEY (organization_id)
CONSTRAINT,organization_subscriptions,organization_subscription_status_check,"CHECK ((status = ANY (ARRAY['trial'::text, 'active'::text, 'past_due'::text, 'suspended'::text, 'cancelled'::text])))"
CONSTRAINT,organization_subscriptions,organization_subscriptions_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,organization_subscriptions,organization_subscriptions_organization_id_key,UNIQUE (organization_id)
CONSTRAINT,organization_subscriptions,organization_subscriptions_pkey,PRIMARY KEY (id)
CONSTRAINT,organization_subscriptions,organization_subscriptions_plan_id_fkey,FOREIGN KEY (plan_id) REFERENCES subscription_plans(id)
CONSTRAINT,organizations,organizations_commercial_status_check,"CHECK ((commercial_status = ANY (ARRAY['trial'::text, 'active'::text, 'past_due'::text, 'suspended'::text, 'cancelled'::text, 'deletion_pending'::text])))"
CONSTRAINT,organizations,organizations_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,organizations,organizations_pkey,PRIMARY KEY (id)
CONSTRAINT,organizations,organizations_slug_key,UNIQUE (slug)
CONSTRAINT,permits,permits_approved_by_fkey,FOREIGN KEY (approved_by) REFERENCES auth.users(id)
CONSTRAINT,permits,permits_pkey,PRIMARY KEY (id)
CONSTRAINT,permits,permits_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,permits,permits_requested_by_fkey,FOREIGN KEY (requested_by) REFERENCES auth.users(id)
CONSTRAINT,permits,permits_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(id) ON DELETE CASCADE
CONSTRAINT,plant_members,plant_members_pkey,"PRIMARY KEY (plant_id, user_id)"
CONSTRAINT,plant_members,plant_members_plant_id_fkey,FOREIGN KEY (plant_id) REFERENCES plants(id) ON DELETE CASCADE
CONSTRAINT,plant_members,plant_members_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
CONSTRAINT,plantmaster_sync,plantmaster_sync_pkey,PRIMARY KEY (site_id)
CONSTRAINT,plants,plants_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,plants,plants_pkey,PRIMARY KEY (id)
CONSTRAINT,platform_admins,platform_admin_role_check,"CHECK ((admin_role = ANY (ARRAY['super_admin'::text, 'operations'::text, 'support'::text, 'billing'::text, 'auditor'::text])))"
CONSTRAINT,platform_admins,platform_admins_created_by_fkey,FOREIGN KEY (created_by) REFERENCES auth.users(id)
CONSTRAINT,platform_admins,platform_admins_pkey,PRIMARY KEY (user_id)
CONSTRAINT,platform_admins,platform_admins_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
CONSTRAINT,platform_notifications,platform_notifications_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE
CONSTRAINT,platform_notifications,platform_notifications_pkey,PRIMARY KEY (id)
CONSTRAINT,platform_notifications,platform_notifications_severity_check,"CHECK ((severity = ANY (ARRAY['info'::text, 'warning'::text, 'error'::text, 'critical'::text])))"
CONSTRAINT,platform_support_messages,platform_support_messages_pkey,PRIMARY KEY (id)
CONSTRAINT,platform_support_messages,platform_support_messages_ticket_id_fkey,FOREIGN KEY (ticket_id) REFERENCES platform_support_tickets(id) ON DELETE CASCADE
CONSTRAINT,platform_support_messages,platform_support_messages_user_id_fkey,FOREIGN KEY (user_id) REFERENCES auth.users(id)
CONSTRAINT,platform_support_tickets,platform_support_tickets_assigned_to_fkey,FOREIGN KEY (assigned_to) REFERENCES auth.users(id)
CONSTRAINT,platform_support_tickets,platform_support_tickets_opened_by_fkey,FOREIGN KEY (opened_by) REFERENCES auth.users(id)
CONSTRAINT,platform_support_tickets,platform_support_tickets_organization_id_fkey,FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE SET NULL
CONSTRAINT,platform_support_tickets,platform_support_tickets_pkey,PRIMARY KEY (id)
CONSTRAINT,platform_support_tickets,platform_support_tickets_priority_check,"CHECK ((priority = ANY (ARRAY['low'::text, 'medium'::text, 'high'::text, 'critical'::text])))"
